Handle;Title;Body (HTML);Vendor;Product Category;Type;Tags;Published;Option1 Name;Option1 Value;Option1 Linked To;Option2 Name;Option2 Value;Option2 Linked To;Option3 Name;Option3 Value;Option3 Linked To;Variant SKU;Variant Grams;Variant Inventory Tracker;Variant Inventory Qty;Variant Inventory Policy;Variant Fulfillment Service;Variant Price;Variant Compare At Price;Variant Requires Shipping;Variant Taxable;Unit Price Total Measure;Unit Price Total Measure Unit;Unit Price Base Measure;Unit Price Base Measure Unit;Variant Barcode;Image Src;Image Position;Image Alt Text;Gift Card;SEO Title;SEO Description;Variant Image;Variant Weight Unit;Variant Tax Code;Cost per item;Status
eyebrow-trimmer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/1012/9765/2051/files/taille-sourcils-electrique-beaute-soins-launchify-873100.jpg?v=1763745795;3;Taille - sourcils électrique - Launchify;;;;;;;;
microcurrent-toning-device;Microcurrent toning device;"<h2 style=""text-align: center;"">
<strong></strong><br>
</h2>
<h2 style=""text-align: center;""><strong>Effortless Anti Aging Lift &amp; Tone Your Skin in Just 5 Minutes!</strong></h2>
<h2 style=""text-align: center;""><br></h2>
<p><video style=""display: block; margin: auto; max-width: 340px; max-height: 340px; border-radius: 10px; object-fit: contain;"" src=""https://launchify-ssk.b-cdn.net/FR/GIF's%20(mp4)/appareil-de-soin-tonifiant-visage-video.mp4"" playsinline="""" autoplay=""autoplay"" muted="""" loop=""loop"" class=""video-background"">
    <source src=""https://launchify-ssk.b-cdn.net/FR/GIF's%20(mp4)/appareil-de-soin-tonifiant-visage-video.mp4"">
    Your browser does not support the video tag.
  </source></video></p>
<p> </p>
<p> </p>
<div style=""text-align: center;""><img style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;"" src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Appareil%20de%20soin%20tonifiant%20visage/appareil-de-soin-tonifiant-visage-icon-1.png""></div>
<div style=""text-align: center;""><strong>Anti-Aging</strong></div>
<div style=""text-align: center;"">Anti-Aging<br>Stimulates collagen and elastin production for firmer, more youthful skin, reducing fine lines and wrinkles.</div>
<div style=""text-align: center;"">
<span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span></span></span><br>
</div>
<div style=""text-align: center;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span></div>
<div style=""text-align: center;""><img style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;"" src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Appareil%20de%20soin%20tonifiant%20visage/appareil-de-soin-tonifiant-visage-icon-2.png""></div>
<div style=""text-align: center;"">
<meta charset=""utf-8"">
<div style=""text-align: center;""><strong>Reduced Puffiness</strong></div>
<div style=""text-align: center;"">Reduced Puffiness<br>Aids in lymphatic drainage, reducing puffiness and fluid retention, especially around the eyes.</div>
<div style=""text-align: center;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span></div>
</div>
<div style=""text-align: center;"">  </div>
<div style=""text-align: center;""><img style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;"" src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Appareil%20de%20soin%20tonifiant%20visage/appareil-de-soin-tonifiant-visage-icon-3.png""></div>
<div style=""text-align: center;"">
<div style=""text-align: center;"">
<meta charset=""utf-8""> <strong>No Chemicals</strong><br>
</div>
<div style=""text-align: center;"">Provides cosmetic benefits without resorting to invasive procedures.</div>
<div style=""text-align: center;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span></div>
</div>
<div style=""text-align: center;""><span>  </span></div>
<div style=""text-align: center;"">
<img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Appareil%20de%20soin%20tonifiant%20visage/appareil-de-soin-tonifiant-visage-icon-4.png"" style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;""><br>
<div style=""text-align: center;"">
<div style=""text-align: center;""><strong>Convenient</strong></div>
<div style=""text-align: center;"">Use at your convenience, eliminating the need for regular spa visits.</div>
<div style=""text-align: center;"">
<span></span><br>
</div>
<div style=""text-align: center;"">
<span></span><br>
</div>
<div style=""text-align: center;"">
<span></span><br>
</div>
<div style=""text-align: center;""><br></div>
<div style=""text-align: center;""><img style=""margin-bottom: 16px; float: none; width: 350px; height: 350px;"" src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Appareil%20de%20soin%20tonifiant%20visage/appareil-de-soin-tonifiant-visage-beaute-soins-duo.jpg""></div>
<h2 style=""text-align: center;"">5 Minutes Facial Rejuvenation Routine</h2>
<p>We know how difficult it can be to deal with the signs of aging and how it can make you feel. That's why we created the 5-Minute Facial Rejuvenation plan. A simple, non-invasive method to regain your confidence and be proud of your natural beauty.</p>
<p> </p>
<p> </p>
<div style=""text-align: center;"">
<div style=""text-align: center;""><img style=""margin-bottom: 16px; float: none; width: 350px; height: 350px;"" src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Appareil%20de%20soin%20tonifiant%20visage/appareil-de-soin-tonifiant-visage-beaute-soins-mannequin.jpg""></div>
<h2 style=""text-align: center;"">Easy Effective &amp; Adjustable Your Personalized Skincare Solution</h2>
<p>Achieve a customized facial toning experience with three adjustable intensity levels. Simply cleanse, apply a moisturizing gel, select intensity, and glide the device over your skin. Whether you're targeting wrinkles, sagging, or puffiness, this device adapts to your needs for visible, lasting results.</p>
</div>
<div style=""text-align: center;"">
<span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span><strong></strong>
</div>
</div>
</div>";OneScale;Uncategorized;;Beauty & care, EN;true;Colour;Pink;;;;;;;;;0.0;;0;deny;manual;39.99;;true;true;;;;;;https://cdn.shopify.com/s/files/1/1012/9765/2051/files/appareil-de-soin-tonifiant-visage-beaute-soins-pink-launchify-847353.jpg?v=1763745798;1;Appareil de soin tonifiant visage - Pink - Launchify;false;;;https://cdn.shopify.com/s/files/1/1012/9765/2051/files/appareil-de-soin-tonifiant-visage-beaute-soins-pink-launchify-847353.jpg?v=1763745798;kg;;;active
microcurrent-toning-device;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/1012/9765/2051/files/appareil-de-soin-tonifiant-visage-beaute-soins-white-launchify-936751.jpg?v=1763745799;2;Appareil de soin tonifiant visage - White - Launchify;;;;;;;;
menstrual-relief-belt;Menstrual Relief Belt;"<h2 style=""text-align: center;"">
<strong></strong><br>
</h2>
<h2 style=""text-align: center;""><strong>NO MORE PAIN DURING PERIODS</strong></h2>
<h2 style=""text-align: center;""><br></h2>
<p><video style=""display: block; margin: auto; max-width: 340px; max-height: 340px; border-radius: 10px; object-fit: contain;"" src=""https://launchify-ssk.b-cdn.net/FR/GIF's%20(mp4)/ceinture-mensturelle-video.mp4"" playsinline="""" autoplay=""autoplay"" muted="""" loop=""loop"" class=""video-background"">
    <source src=""https://launchify-ssk.b-cdn.net/FR/GIF's%20(mp4)/ceinture-mensturelle-video.mp4"">
    Your browser does not support the video tag.
  </source></video></p>
<p> </p>
<p> </p>
<div style=""text-align: center;""><img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Ceinture%20menstruelle/ceinture-menstruelle-icon-1.png"" style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;""></div>
<div style=""text-align: center;""><strong>NATURAL PAIN RELIEF</strong></div>
<div style=""text-align: center;"">Doesn't use invasive chemical methods potentially harmful or addictive.</div>
<div style=""text-align: center;"">
<span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span></span></span><br>
</div>
<div style=""text-align: center;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span></div>
<div style=""text-align: center;""><img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Ceinture%20menstruelle/ceinture-menstruelle-icon-2.png"" style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;""></div>
<div style=""text-align: center;"">
<meta charset=""utf-8"">
<div style=""text-align: center;""><strong>INCREASED COMFORT</strong></div>
<div style=""text-align: center;"">Offers soft and comfortable support that reduces&amp;nbsp;the feeling of discomfort.</div>
<div style=""text-align: center;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span></div>
</div>
<div style=""text-align: center;"">  </div>
<div style=""text-align: center;""><img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Ceinture%20menstruelle/ceinture-menstruelle-icon-3.png"" style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;""></div>
<div style=""text-align: center;"">
<div style=""text-align: center;"">
<meta charset=""utf-8""> <strong>FLEXIBILITY</strong><br>
</div>
<div style=""text-align: center;"">Use it anytime and hide it under your clothes so that you can continue your normal activities.</div>
<div style=""text-align: center;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span></div>
</div>
<div style=""text-align: center;""><span>  </span></div>
<div style=""text-align: center;"">
<img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Ceinture%20menstruelle/ceinture-menstruelle-icon-4.png"" style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;""><br>
<div style=""text-align: center;"">
<div style=""text-align: center;""><strong>STRESS FATIGUE RELIEF</strong></div>
<div style=""text-align: center;"">By relieving pain, the belt can also help reduce fatigue and stress associated with menstruation.</div>
<div style=""text-align: center;"">
<span></span><br>
</div>
<div style=""text-align: center;"">
<span></span><br>
</div>
<div style=""text-align: center;"">
<span></span><br>
</div>
<div style=""text-align: center;""><br></div>
<div style=""text-align: center;""><img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Ceinture%20menstruelle/ceinture-menstruelle-pink-woman.jpg"" style=""margin-bottom: 16px; float: none; width: 350px; height: 350px;""></div>
<h2 style=""text-align: center;"">Gentle Relief Anytime &amp; Anywhere</h2>
<p>Experience effective menstrual pain relief without medication. The Menstrual Relief Belt delivers soothing warmth and massage to relax your muscles, helping you feel comfortable no matter where you are. Designed to be worn discreetly under clothing, it’s the perfect companion for busy days.</p>
<p> </p>
<p> </p>
<div style=""text-align: center;"">
<div style=""text-align: center;""><img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Ceinture%20menstruelle/ceinture-menstruelle-pink-zoom.jpg"" style=""margin-bottom: 16px; float: none; width: 350px; height: 350px;""></div>
<h2 style=""text-align: center;"">3 HEAT MODES AVAILABLE</h2>
<p>65°C (149°F) effectively relieves severe menstrual pain<br>55°C (131°F) is perfect for an optimal well-being<br>45°C&amp;nbsp;(113°F)&amp;nbsp;is ideal for daily use to support your body in a gentle and soothing way</p>
</div>
<div style=""text-align: center;"">
<span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span><strong></strong>
</div>
</div>
</div>";OneScale;Uncategorized;;EN, Home & Comfort;true;Title;Default Title;;;;;;;;;0.0;;0;deny;manual;49.99;;true;true;;;;;;https://cdn.shopify.com/s/files/1/1012/9765/2051/files/ceinture-menstruelle-fr-launchify-563176.jpg?v=1763745800;1;Ceinture menstruelle - Launchify;false;;;;kg;;;active
menstrual-relief-belt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/1012/9765/2051/files/ceinture-menstruelle-fr-launchify-765007.jpg?v=1763745800;2;Ceinture menstruelle - Launchify;;;;;;;;
menstrual-relief-belt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/1012/9765/2051/files/ceinture-menstruelle-fr-launchify-928088.jpg?v=1763745799;3;Ceinture menstruelle - Launchify;;;;;;;;
hair-fibers;Hair Fibers;"<h2 style=""text-align: center;"">
<strong></strong><br>
</h2>
<h2 style=""text-align: center;""><strong>Transform Thinning Hair Instantly</strong></h2>
<h2 style=""text-align: center;""><br></h2>
<p><video style=""display: block; margin: auto; max-width: 340px; max-height: 340px; border-radius: 10px; object-fit: contain;"" src=""https://launchify-ssk.b-cdn.net/FR/GIF's%20(mp4)/fibres-capillaires-video.mp4"" playsinline="""" autoplay=""autoplay"" muted="""" loop=""loop"" class=""video-background"">
    <source src=""https://launchify-ssk.b-cdn.net/FR/GIF's%20(mp4)/fibres-capillaires-video.mp4"">
    Your browser does not support the video tag.
  </source></video></p>
<p> </p>
<p> </p>
<div style=""text-align: center;""><img style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;"" src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Fibres%20capillaires/fibres-capillaires-icon-1.png""></div>
<div style=""text-align: center;""><strong>EASY APPLICATION, QUICK REMOVAL</strong></div>
<div style=""text-align: center;"">Applies in one minute and removes in one shampoo.</div>
<div style=""text-align: center;"">
<span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span></span></span><br>
</div>
<div style=""text-align: center;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span></div>
<div style=""text-align: center;""><img style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;"" src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Fibres%20capillaires/fibres-capillaires-icon-2.png""></div>
<div style=""text-align: center;"">
<meta charset=""utf-8"">
<div style=""text-align: center;""><strong>BOOST YOUR CONFIDENCE</strong></div>
<div style=""text-align: center;"">The days of feeling bad about thinning hair on your head or beard are over.</div>
<div style=""text-align: center;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span></div>
</div>
<div style=""text-align: center;"">  </div>
<div style=""text-align: center;""><img style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;"" src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Fibres%20capillaires/fibres-capillaires-icon-3.png""></div>
<div style=""text-align: center;"">
<div style=""text-align: center;"">
<meta charset=""utf-8""> <strong>WATER-RESISTANT</strong><br>
</div>
<div style=""text-align: center;"">The fibers are wind, sweat, and water-resistant and designed to outlast your busy day.</div>
<div style=""text-align: center;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span></div>
</div>
<div style=""text-align: center;""><span>  </span></div>
<div style=""text-align: center;"">
<img style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;"" src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Fibres%20capillaires/fibres-capillaires-icon-4.png""><br>
<div style=""text-align: center;"">
<div style=""text-align: center;""><strong>INVISIBLE</strong></div>
<div style=""text-align: center;"">100% natural look that instantly conceals bald spots, receding hairlines, alopecia and other thin patches.</div>
<div style=""text-align: center;"">
<span></span><br>
</div>
<div style=""text-align: center;"">
<span></span><br>
</div>
<div style=""text-align: center;"">
<span></span><br>
</div>
<div style=""text-align: center;""><br></div>
<div style=""text-align: center;""><img style=""margin-bottom: 16px; float: none; width: 350px; height: 350px;"" src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Fibres%20capillaires/fibres-capillaires-before-after-1.jpg""></div>
<h2 style=""text-align: center;"">Confidence in Every Strand The Instant Hair Thickening Solution</h2>
<p> Struggling with thinning hair? Hair Fibers provide a quick and effortless solution, instantly enhancing hair volume and coverage. Whether you’re covering bald spots, a receding hairline, or patchy beards, this easy-to-apply formula locks onto your hair for a completely natural look in seconds.</p>
<p> </p>
<p> </p>
<div style=""text-align: center;"">
<div style=""text-align: center;""><img style=""margin-bottom: 16px; float: none; width: 350px; height: 350px;"" src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Fibres%20capillaires/fibres-capillaires-hand.jpg""></div>
<h2 style=""text-align: center;"">How It Works Simple Seamless and Effective</h2>
<p>Using static electricity, the fibers cling to your existing hair, creating a fuller appearance instantly. Just sprinkle, blend, and go it’s that simple! No messy application, no waiting time. Enjoy fuller, thicker-looking hair effortlessly.</p>
</div>
<div style=""text-align: center;"">
<span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span><strong></strong>
</div>
</div>
</div>";OneScale;Uncategorized;;Beauty & care, EN;true;Title;Default Title;;;;;;;;;0.0;;0;deny;manual;39.99;;true;true;;;;;;https://cdn.shopify.com/s/files/1/1012/9765/2051/files/fibres-capillaires-beaute-soins-launchify-954803.jpg?v=1763745800;1;Fibres capillaires - Launchify;false;;;;kg;;;active
hair-fibers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/1012/9765/2051/files/fibres-capillaires-beaute-soins-launchify-169885.jpg?v=1763745800;2;Fibres capillaires - Launchify;;;;;;;;
electric-callus-remover;Electric callus remover;"<h2 style=""text-align: center;"">
<strong></strong><br>
</h2>
<h2 style=""text-align: center;""><strong>SAY HELLO TO BABY SMOOTH FOOT</strong></h2>
<h2 style=""text-align: center;""><br></h2>
<p><video style=""display: block; margin: auto; max-width: 340px; max-height: 340px; border-radius: 10px; object-fit: contain;"" src=""https://launchify-ssk.b-cdn.net/FR/GIF's%20(mp4)/rape-%C3%A0-pied-%C3%A9lectrique-video.mp4"" playsinline="""" autoplay=""autoplay"" muted="""" loop=""loop"" class=""video-background"">
    <source src=""https://launchify-ssk.b-cdn.net/FR/GIF's%20(mp4)/rape-%C3%A0-pied-%C3%A9lectrique-video.mp4"">
    Your browser does not support the video tag.
  </source></video></p>
<p> </p>
<p> </p>
<div style=""text-align: center;""><img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Rape%20%C3%A0%20pied%20%C3%A9lectrique/rape-a-pied-electrique-icon-1.png"" style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;""></div>
<div style=""text-align: center;""><strong>NATURAL</strong></div>
<div style=""text-align: center;"">Don't use chemicals on your foot anymore. Switch to natural removal.</div>
<div style=""text-align: center;"">
<span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span></span></span><br>
</div>
<div style=""text-align: center;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span></div>
<div style=""text-align: center;""><img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Rape%20%C3%A0%20pied%20%C3%A9lectrique/rape-a-pied-electrique-icon-2.png"" style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;""></div>
<div style=""text-align: center;"">
<meta charset=""utf-8"">
<div style=""text-align: center;""><strong>PAINLESS</strong></div>
<div style=""text-align: center;"">Painless callus removal process that leaves your feet feeling refreshed and revitalized.</div>
<div style=""text-align: center;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span></div>
</div>
<div style=""text-align: center;"">  </div>
<div style=""text-align: center;""><img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Rape%20%C3%A0%20pied%20%C3%A9lectrique/rape-a-pied-electrique-icon-3.png"" style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;""></div>
<div style=""text-align: center;"">
<div style=""text-align: center;"">
<meta charset=""utf-8""> <strong>REGENERATE</strong><br>
</div>
<div style=""text-align: center;"">Restore your feet's youthful radiance in seconds.</div>
<div style=""text-align: center;""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span></div>
</div>
<div style=""text-align: center;""><span>  </span></div>
<div style=""text-align: center;"">
<img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Rape%20%C3%A0%20pied%20%C3%A9lectrique/rape-a-pied-electrique-icon-4.png"" style=""margin-bottom: 16px; float: none; width: 70px; height: 70px;""><br>
<div style=""text-align: center;"">
<div style=""text-align: center;""><strong>ERGONOMIC</strong></div>
<div style=""text-align: center;"">Our special design allows you to reach all the parts of your foot.</div>
<div style=""text-align: center;"">
<span></span><br>
</div>
<div style=""text-align: center;"">
<span></span><br>
</div>
<div style=""text-align: center;"">
<span></span><br>
</div>
<div style=""text-align: center;""><br></div>
<div style=""text-align: center;""><img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Rape%20%C3%A0%20pied%20%C3%A9lectrique/rape-a-pied-electrique-before-after-1.jpg"" style=""margin-bottom: 16px; float: none; width: 350px; height: 350px;""></div>
<h2 style=""text-align: center;"">THE SALON QUALITY FROM HOME</h2>
<p> Instantly eliminate calluses, dry skin, and rough patches without expensive salon visits. Designed for efficiency and comfort, this electric callus remover delivers professional results in just secondseffortlessly and painlessly.</p>
<p> </p>
<p> </p>
<div style=""text-align: center;"">
<div style=""text-align: center;""><img src=""https://launchify-ssk.b-cdn.net/FR/Products%20Images%20%26%20Icons/Rape%20%C3%A0%20pied%20%C3%A9lectrique/rape-a-pied-electrique-foot.jpg"" style=""margin-bottom: 16px; float: none; width: 350px; height: 350px;""></div>
<h2 style=""text-align: center;"">Ergonomic &amp; Effortless Total Foot Care Made Simple</h2>
<p>The ergonomic design ensures easy reach to all areas of your foot, while the two precision roller heads let you customize your treatment. Whether smoothing rough spots or polishing for a flawless finish, your feet will feel baby-soft and refreshed in no time.</p>
</div>
<div style=""text-align: center;"">
<span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><span>  </span></span><strong></strong>
</div>
</div>
</div>";OneScale;Uncategorized;;Beauty & care, EN;true;Title;Default Title;;;;;;;;;0.0;;0;deny;manual;49.99;;true;true;;;;;;https://cdn.shopify.com/s/files/1/1012/9765/2051/files/rape-a-pied-electrique-beaute-soins-launchify-327533.jpg?v=1763745802;1;Rape à pied électrique - Launchify;false;;;;kg;;;active
electric-callus-remover;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/1012/9765/2051/files/rape-a-pied-electrique-beaute-soins-launchify-356473.jpg?v=1763745802;2;Rape à pied électrique - Launchify;;;;;;;;
electric-callus-remover;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/1012/9765/2051/files/rape-a-pied-electrique-beaute-soins-launchify-934588.webp?v=1763745802;3;Rape à pied électrique - Launchify;;;;;;;;
